tmdb_id,name,original_name,keywords,airing_date,poster_img_url,background_img_url,directors,cast,genres,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,next_episode_air_date,origin_country,networks,production_companies,tags
71564,Duel,듀얼,,2017-06-03,https://image.tmdb.org/t/p/w500/slU4E2wHaGNs6ZoqpdEq3mUK4cQ.jpg,https://image.tmdb.org/t/p/original/8NYE2F1mT3EuDQDHKnFEeNZGBHy.jpg,Lee Jong-jae,"Lee Yea-eun, Jung Jae-young, Kim Jung-eun, Yang Se-jong, Seo Eun-Soo, Yoon Kyung-ho, Lee Na-Yoon, Kim Ki-doo, Lee Sung-wook, Choi Woong","Crime, Mystery, Drama",1.0,16.0,60.0,"Jang Deuk-Cheon is the chief of a crime squad. At home, he is kind and friendly father to his daughter. He meets a human clone and gets involved in a shocking case. A battle takes place between human clones.",5.708,6.2,10.0,,,KR,OCN,"Chorokbaem Media, Studio Dragon",
130655,High Class,하이클래스,"deception, murder, death, lying, female centered plot, secret",2021-09-06,https://image.tmdb.org/t/p/w500/y12jFvgntlxyit2KMd94LmCQO1d.jpg,https://image.tmdb.org/t/p/original/qmfcm3pkTTxQhNOPHvl7N9T5Pem.jpg,,"Cho Yeo-jeong, Kim Ji-soo, Ha Jun, Park Se-jin, Gong Hyun-joo, Kim Nam-hee, Woo Hyun-ju, Lee Ka-eun, Kim Young-jae, Song Hoon, Park So-yi, Choi Sung-joon, Kim Jin-yeop, Yoon In-jo, Lee Jung-yeol","Crime, Drama",1.0,16.0,70.0,"Song Yeo-wool, a widow who has been falsely accused of her husband’s murder, goes on a dangerous path to discover the truth about her husband’s death, while facing great judgement from the society. With this charge and allegation on her, she gets near about losing everything and becomes devastated. Meanwhile, the parents of students of international school where Yeo-wool’s son studies, starts to spread rumors about Yeo-wool.",5.694,8.7,6.0,,,KR,tvN,Production H,"choyeo-jeong kimji-soo hajun parkse-jin gonghyun-joo kimnam-he woohyun-ju leeka-eun kimyoung-ja songhoon parkso-yi choisung-joon kimjin-yeop yoonin-jo leejung-yeol decept murder death lie femalecenteredplot secret tvn crime drama song yeo-wool, a widow who ha been fals accus of her husband’ murder, goe on a danger path to discov the truth about her husband’ death, while face great judgement from the society. with thi charg and alleg on her, she get near about lose everyth and becom devastated. meanwhile, the parent of student of intern school where yeo-wool’ son studies, start to spread rumor about yeo-wool."
38199,"Still, Marry Me",아직도 결혼하고 싶은 여자,romance,2010-01-20,https://image.tmdb.org/t/p/w500/axU99t3oNE12BZoNvPsJ59MfJdl.jpg,https://image.tmdb.org/t/p/original/tkQ4SxT5PbrSMajysz0tu9UK5Pv.jpg,,"Park Jin-hee, Uhm Ji-won, Wang Bit-na, Kim Bum, Choi Cheol-ho, Lee Pil-mo, Chun Woo-hee, Kim Yong-hee","Comedy, Drama",1.0,16.0,70.0,"When three women put their careers above their personal relationships in their quest to succeed, would they change anything about their lives now that they’re in their 30s? Lee Shin Young is a reporter for the UBN broadcasting company. Jung Da Jung works as a Korean-English translator. Kim Boo Ki works as a popular restaurant consultant. The women are all 36 years old and good friends. When one gets married and discovers married life isn’t all it’s cracked up to be, another develops a condition that sidelines her career, and the other suddenly finds a baby at her doorstep, they help each other deal with the challenges facing modern career women.",5.69,,,,,KR,MBC,,"parkjin-he uhmji-won wangbit-na kimbum choicheol-ho leepil-mo chunwoo-he kimyong-he romanc mbc comedi drama when three women put their career abov their person relationship in their quest to succeed, would they chang anyth about their live now that they’r in their 30s? lee shin young is a report for the ubn broadcast company. jung da jung work as a korean-english translator. kim boo ki work as a popular restaur consultant. the women are all 36 year old and good friends. when one get marri and discov marri life isn’t all it’ crack up to be, anoth develop a condit that sidelin her career, and the other suddenli find a babi at her doorstep, they help each other deal with the challeng face modern career women."
32824,"Smile, You","그대, 웃어요",,2009-09-26,https://image.tmdb.org/t/p/w500/rscdUkrscWqEeIY189cQN4kuQgk.jpg,https://image.tmdb.org/t/p/original/4XFMCasWtARgY582o5Ipz5hyoTu.jpg,,"Jung Kyung-ho, Lee Min-jung, Cheon Ho-jin, Lee Chun-hee, Choi Jung-yoon, Heo Yoon Jung, Choi Bool-am, Lee Kyu-han, Park Joon-geum, Yoon Joo-sang, Song Ok-suk, Kang Seok-woo, Han Bo-bae, Jeon Hye-jin","Comedy, Drama, Romance",1.0,45.0,70.0,"Seo Jung In is the kind-hearted, but spoiled daughter of a wealthy family. When the family's financial bubble bursts, her fiancée dumps her at the altar and her family is forced to rely on the kindness of their former chauffeur's family. While adjusting to life in their crowded, two-family home, Jung In and the Kangs' son, Hyun Su, begin to clash. Will these two find a way to get along, or will their initial irritation with one another blossom into something more?",5.686,7.4,4.0,,,KR,SBS,Logos Film,
2265,"I'm Sorry, I Love You","미안하다, 사랑한다",,2004-11-08,https://image.tmdb.org/t/p/w500/hw6Ju7DDwXwqSekLLCdGBEWGfVu.jpg,https://image.tmdb.org/t/p/original/v9W8GyOznXQKv8iR0DLAF8B2fuW.jpg,,"Lim Soo-jung, So Ji-sub, Jung Kyung-ho, Choi Yeo-jin, Seo Ji-young, Jeon Hye-jin, Kim Hye-ok, Lee Hye-young, Lee Yeong-ha, Shin Goo, Park Gun-tae",Drama,1.0,16.0,62.0,"Cha Moo Hyuk is a man who was adopted by an Australian family but treated cruelly and then abandoned at a young age. By chance, he meets Song Eun Chae, a fashion coordinator dedicated to her employer, singer Choi Yune. Their meeting will have implications for the rest of Cha Moo Hyuk's life as a devastating turn of events leads him to delve into his past, and ultimately find happiness.",6.54,7.8,15.0,,,KR,KBS2,Group Eight,
24633,Miss Mermaid,인어아가씨,,2002-06-24,https://image.tmdb.org/t/p/w500/p03XCFvMvZMptl3MgRqKUNyJ9s1.jpg,https://image.tmdb.org/t/p/original/j95mWCXaJrVnFKbeTF0YupMrV0N.jpg,,"Jang Seo-hee, Woo Hee-jin, Kim Sung-Min, Jeong Bo-seok, Park Tam-hee, Kim Byeong-gi, Choi Sun-ja, Jeon Mi-seon, Jung Young-sook, Park Geun-hyung, Han Hye-suk, Sa Mi-ja, Kim Yong-rim, Goh Doo-shim","Drama, Family",1.0,246.0,45.0,,5.664,6.5,2.0,,,KR,MBC,MBC,
135896,Ultimate Weapon Alice,최종병기 앨리스,school,2022-06-24,https://image.tmdb.org/t/p/w500/9vgFlYUTtg2Xzx6TXiVFCpjUE8k.jpg,https://image.tmdb.org/t/p/original/iv0DEmOSvbgwpdVICRbsdxQtIEO.jpg,Lee Byeong-heon,"Park Se-wan, Song Geon-hee, Kim Sung-oh, Kim Tae-hun, Jung Seung-kil, Cha Joo-young","Action & Adventure, Drama",1.0,8.0,29.0,A youth action romance about the bloody high school lives of mysterious transfer student and killer Gyeo Wool and traumatized high school student Yeo Reum as they meet and get chased down by a criminal organization.,5.659,6.8,4.0,,,KR,watcha,PLUSMedia Entertainment,parkse-wan songgeon-he kimsung-oh kimtae-hun jungseung-kil chajoo-young school watcha action&adventur drama a youth action romanc about the bloodi high school live of mysteri transfer student and killer gyeo wool and traumat high school student yeo reum as they meet and get chase down by a crimin organization.
35919,Dear Heaven,하늘이시여,,2005-09-10,https://image.tmdb.org/t/p/w500/5an5FyUHmWZGTeZjDAeTJg1BMO7.jpg,,,"Lee Tae-gon, Lim Chae-mu, Ban Hyo-jung, Yoon Jung-hee, Han Hye-suk, Kang Ji-sub, Park Hae-mi, Wang Bit-na, Lee Bo-hee, Lee Soo-kyung",Drama,1.0,67.0,60.0,"Ji Young Sun, when she was very young, gave away her daughter Lee Ja Kyung after giving birth. She later remarries and creates a new family, but soon after, her husband dies leaving her behind with her stepson Gu Wang Mo and daughter Gu Seul Ah.

Lee Ja Kyung now grown, after being orphaned once again as a child by the passing of her foster parents, lives a life of loneliness and lack of love. Her birth mother Young Sun comes to find her, but in order to keep her daughter Ja Kyung by her side, tries to match her up with her stepson.",5.641,,,,,KR,SBS,Seoul Broadcasting System,
65846,Babysitter,베이비시터,"infidelity, cheating, babysitter, revenge, thriller, rich family",2016-03-14,https://image.tmdb.org/t/p/w500/r9n5j6zuhyGauKHw3DnmckDx6S0.jpg,,,"Yoon Ye Joo, Kim Min-jun, Cho Yeo-jeong, Lee Seung-joon, Shin Yoon-ju","Mystery, Drama",1.0,4.0,60.0,"An attractive babysitter, who graduated from a prestigious university, begins to work as a babysitter for 3 children from a wealthy couple. The attractive babysitter begins to change.",5.632,7.0,3.0,,,KR,KBS2,,"yoonyejoo kimmin-jun choyeo-jeong leeseung-joon shinyoon-ju infidel cheat babysitt reveng thriller richfamili kbs2 mysteri drama an attract babysitter, who graduat from a prestigi university, begin to work as a babysitt for 3 children from a wealthi couple. the attract babysitt begin to change."
32819,Cinderella Man,신데렐라 맨,romance,2009-04-15,https://image.tmdb.org/t/p/w500/w0nlcHkZ0tc8oD4EmWfut6JatQZ.jpg,https://image.tmdb.org/t/p/original/u3J1Cw1PkYjaJBARrUvQi2hTP83.jpg,,"Kwon Sang-woo, Yoona, Han Da-gam, Song Chang-eui, Jung Hye-sun, Ahn Suk-hwan, Lee Byung-joon, Jung Woo, Ra Mi-ran, Lee Kyung-jin",Drama,1.0,16.0,60.0,"When brash, street-smart orphan Oh Dae San, who makes his living copying designer fashions, and the apathetic grandson of the fashion empire Lee Joon Hee meet by chance one day, the two men realize that they look exactly alike and in that, they see a chance to set each other free.",5.631,6.5,3.0,,,KR,MBC,,"kwonsang-woo yoona handa-gam songchang-eui junghye-sun ahnsuk-hwan leebyung-joon jungwoo rami-ran leekyung-jin romanc mbc drama when brash, street-smart orphan oh dae san, who make hi live copi design fashions, and the apathet grandson of the fashion empir lee joon hee meet by chanc one day, the two men realiz that they look exactli alik and in that, they see a chanc to set each other free."
54619,Pots of Gold,"금 나와라, 뚝딱!",romance,2013-04-06,https://image.tmdb.org/t/p/w500/bZldBADWLhJZcJ6rJStY2QjNSat.jpg,,,"Jeong-hun Yeon, Han Ji-hye, Ban Hyo-jung, Kim Ji-young, Geum Bo-ra, Choi Myung-gil, Kim Da-hyun","Drama, Comedy, Family",1.0,50.0,70.0,"The drama explores love, marriage and divorce through a case of mistaken identity, while making good-humored fun of a middle class family and their pretensions.",5.628,,,,,KR,MBC,Victory Contents,"jeong-hunyeon hanji-hy banhyo-jung kimji-young geumbo-ra choimyung-gil kimda-hyun romanc mbc drama comedi famili the drama explor love, marriag and divorc through a case of mistaken identity, while make good-humor fun of a middl class famili and their pretensions."
100998,How to Buy a Friend,계약우정,"high school, based on comic, school, school life, based on webcomic or webtoon",2020-04-06,https://image.tmdb.org/t/p/w500/h1jGR9Gf8V6qz3HHYNw1gqTpRuH.jpg,https://image.tmdb.org/t/p/original/1yAhYCVeu5XEJ4lRfmfwFsf1uKB.jpg,,"Lee Sin-young, Oh Hee-joon, Jang Hye-jin, Kim Do-wan, Kim In-kwon, Kim So-ra, Kim Won-hae, Shin Seung-ho, Min Do-hee, Cho Yi-hyun, Lee Jung-hyun, Kim So-hye","Drama, Action & Adventure",1.0,8.0,35.0,"Park Chan-Hong is an ordinary high school student. He has talent for writing and he gets pressured by his parents about his studies. Park Chan-Hong doesn't have any specific dreams. He is friends with Eom Se-Yoon, who attends the same high school. She is popular at school. Meanwhile, Heo Don-Hyeok is classmates with Park Chan-Hong. Heo Don-Hyeok is not interested in studying and he works to pay for his living expenses. One day, Heo Don-Hyeok saves Park Chan-Hong from a school bully. To pay for his rent, Heo Don-Hyeok asks to borrow 300,000 won ($270 USD) from Park Chan-Hong. Park Chan-Hong lends him the money, but that money was supposed to pay for his private institute tuition fee. After school, Park Chan-Hong now doesn't have a place to go. He begins to spend time with Heo Don-Hyeok.",5.61,4.3,3.0,,,KR,KBS2,Mega Monster,"leesin-young ohhee-joon janghye-jin kimdo-wan kimin-kwon kimso-ra kimwon-ha shinseung-ho mindo-he choyi-hyun leejung-hyun kimso-hy highschool basedoncom school schoollif basedonwebcomicorwebtoon kbs2 drama action&adventur park chan-hong is an ordinari high school student. he ha talent for write and he get pressur by hi parent about hi studies. park chan-hong doesn't have ani specif dreams. he is friend with eom se-yoon, who attend the same high school. she is popular at school. meanwhile, heo don-hyeok is classmat with park chan-hong. heo don-hyeok is not interest in studi and he work to pay for hi live expenses. one day, heo don-hyeok save park chan-hong from a school bully. to pay for hi rent, heo don-hyeok ask to borrow 300,000 won ($270 usd) from park chan-hong. park chan-hong lend him the money, but that money wa suppos to pay for hi privat institut tuition fee. after school, park chan-hong now doesn't have a place to go. he begin to spend time with heo don-hyeok."
22726,5th Republic,제5공화국,"politics, republic",2005-04-23,https://image.tmdb.org/t/p/w500/rkL9UzEOVV1aYsmHGjmTMNxkUxN.jpg,https://image.tmdb.org/t/p/original/1KsnAJSf8HzAD4rFPmkTseneC4R.jpg,Im Tae-woo,"Lee Duck-hwa, Seo In-seok, Lee Jae-yong, Lee Jeong-kil, Kim Yong-geon, Song Ok-suk, Kim Yeong-Ran, Kim Byeong-gi, Jung Ho-keun, Park Young-ji",Drama,1.0,41.0,80.0,"5th Republic is a controversial political drama about the Fifth Republic of South Korea, one of the most turbulent times in modern Korean history. The 41-episode television series covered the key aspects of the period from President Park Chung-hee's assassination to general Chun Doo-hwan's military coup and his bloody rise to power, as well as the ensuing conflicts between the pro-democratic movement and Chun's military regime and the behind-the-scenes power struggles that ultimately led to Roh Tae-woo's presidential succession in 1987.

Given the sensitive nature of the subject matter, 5th Republic tread a fine line between fact and fiction, and faced many challenges even before the start of the production - one of which was pressures from actual political figures who threatened to sue the network for defamation if the script was not modified. Moreover, there was concern over the possible glorification of the drama's lead character Chun Doo-hwan played by Lee Deok-hwa whose strong charisma helped draw in big audience during the drama's initial broadcast on MBC in 2005.",5.592,9.0,4.0,,,KR,MBC,MBC,"leeduck-hwa seoin-seok leejae-yong leejeong-kil kimyong-geon songok-suk kimyeong-ran kimbyeong-gi jungho-keun parkyoung-ji polit republ mbc drama 5th republ is a controversi polit drama about the fifth republ of south korea, one of the most turbul time in modern korean history. the 41-episod televis seri cover the key aspect of the period from presid park chung-hee' assassin to gener chun doo-hwan' militari coup and hi bloodi rise to power, as well as the ensu conflict between the pro-democrat movement and chun' militari regim and the behind-the-scen power struggl that ultim led to roh tae-woo' presidenti success in 1987. given the sensit natur of the subject matter, 5th republ tread a fine line between fact and fiction, and face mani challeng even befor the start of the product - one of which wa pressur from actual polit figur who threaten to sue the network for defam if the script wa not modified. moreover, there wa concern over the possibl glorif of the drama' lead charact chun doo-hwan play by lee deok-hwa whose strong charisma help draw in big audienc dure the drama' initi broadcast on mbc in 2005."
