tmdb_id,name,headquarters,homepage,logo_path,origin_country
122255,Blossom Story,,,,KR
6900,Chez Wam,"Paris, France",,,FR
167756,May Queen Pictures (KR),,,,
83915,Signal Entertainment Group,"Gangdong, Seoul, South Korea",,,KR
77994,KBS Media,"Mapo, Seoul, South Korea",http://www.kbsmedia.co.kr/,https://image.tmdb.org/t/p/original/mQcOwCeEkNJV3Iryh4YyKimXXPJ.png,KR
144467,STORY TV,"Goyang, Gyeonggi",http://www.storytv.co.kr/,,KR
99961,SM Entertainment,"Gangnam, Seoul, South Korea",http://www.smentertainment.com/,https://image.tmdb.org/t/p/original/gtBic6gQQHp9LyfBfhF17XqZXJE.png,KR
115706,Shinyoung E&C Group,,,,
119175,Woosang Pictures,"Gwangju, Gyeonggi, South Korea",,,KR
50998,AD406,"Mapo, Seoul, South Korea",,https://image.tmdb.org/t/p/original/3K5hmeIcI9tgXEo4EeyMmhZCfOc.png,KR
69890,SSD,,,,
87422,AStory,"Mapo, Seoul, South Korea",http://astory.co.kr/,https://image.tmdb.org/t/p/original/yipyNbVGcdyUtss9RtA4i7Zkkey.png,KR
121445,JP E&M,,,,
68635,iHQ,"Gangnam, Seoul, South Korea",http://www.ihq.co.kr,,KR
49096,Yong Film,"Seongdong, Seoul, South Korea",,https://image.tmdb.org/t/p/original/dj9VQ8Tqw4OTP8h5JkSOQGpEeMR.png,KR
29230,Golden Thumb Pictures,,,,
10464,Korea Educational Broadcasting System (EBS),"Goyang, Gyeonggi, South Korea",http://about.ebs.co.kr/kor/main/index,https://image.tmdb.org/t/p/original/bibwqB8U1QGwotLpX4QL4dvisxG.png,KR
159824,Contents Wavve,"Yeongdeungpo, Seoul, South Korea",https://www.wavve.com/customer/company.html,https://image.tmdb.org/t/p/original/aorsHr6fixTfkQxQd3WcGqoazOO.png,KR
147214,HiSTORY D&C,,,,
78691,Kross Pictures,"Gangnam, Seoul, South Korea",http://www.krosspictures.com/,https://image.tmdb.org/t/p/original/bLJDhuGNexE8w4Gn8wt1zAwU22y.png,KR
139214,Kakao Entertainment,"Gangnam, Seoul",https://kakaoent.com/,https://image.tmdb.org/t/p/original/1aHsO2tVEdJfIBYCy0G4VpWYDY8.png,KR
111327,SM Life Design Group,"Paju, Gyeonggi, South Korea",http://www.smlifedesign.com,,KR
119174,Studio N,"Gangnam, Seoul, South Korea",https://studioncorp.com/,https://image.tmdb.org/t/p/original/xxj0onwoNxu6f48qpNFZgdQ9SVx.png,KR
83914,Studio S,"Goyang, Gyeonggi, South Korea",https://s-studio.co.kr/,https://image.tmdb.org/t/p/original/nFcR2kd7vl5O3TITQs6x39BNo6Y.png,KR
176987,image9comms,,,,KR
129172,Studio Animal,,,,
20064,Next Entertainment World,"Gangnam, Seoul, South Korea",http://www.its-new.co.kr/,https://image.tmdb.org/t/p/original/2In7Heq6DuXDjOwPmJqHWkpohaL.png,KR
117973,Say On Media,"Mapo, Seoul, South Korea",http://www.sayonmedia.com,,KR
127541,Climax Studios,"Gangnam, Seoul",,https://image.tmdb.org/t/p/original/Aq35mXuZv7lhPm8a60YKRaB9Vek.png,KR
97551,NAVER,"Seongnam, Gyeonggi, South Korea",https://www.navercorp.com/,https://image.tmdb.org/t/p/original/u6tba811VId34gzkchYkFueECOF.png,KR
58209,Studio Mir,"Geumcheon, Seoul, South Korea",http://www.studiomir.co.kr/kor/index.php,,KR
168283,Westworld Story,,,,KR
172183,Studio Phoenix,,,,KR
182507,LEE'z Film,,,,
95314,Neo Entertainment,,,,KR
22040,UAA Films,,,,
88186,Curo Holdings,"Gangnam, Seoul, South Korea",http://www.curoholdings.com/,,KR
112299,JYP Entertainment,"Gangnam, Seoul, South Korea",http://www.jype.com,https://image.tmdb.org/t/p/original/411aAEiTcadgHSzzfAHtzWIMWUs.png,KR
60778,Yoon's Color,,,,
65083,DSP Media,,,,KR
1957,Warner Bros. Television,"Burbank, California",https://www.warnerbros.com/tv,https://image.tmdb.org/t/p/original/3T19XSr6yqaLNK8uJWFImPgRax0.png,US
172171,PH E&M,,,,
27133,Sanai Pictures,"Yongsan, Seoul, South Korea",,https://image.tmdb.org/t/p/original/2hAfEWVO5JGBzHFjPHWFwPU9r55.png,KR
168284,Wysiwyg Studios,,http://www.wswgstudios.com/about/index.jsp,,KR
115541,UFO Production,"Gangnam, Seoul, South Korea",http://www.ufopd.co.kr/,,KR
83678,iWill Media,"Mapo, Seoul",http://www.iwillmedia.co.kr/,,KR
87007,Happy Movies,,,,IN
144329,Crave Works,,,,KR
115703,Hoga Entertainment Signal Pictures,,,,
168465,Mimi World,,,,
180056,Studio Wavve,,,,KR
172305,Blitzway Studios,,,,KR
