tmdb_id,name,original_name,keywords,airing_date,poster_img_url,background_img_url,directors_ids,cast_ids,genres_ids,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,next_episode_air_date,origin_country,networks_ids,production_companies_ids
132600,Yonder,욘더,based on novel or book,2022-10-14,https://image.tmdb.org/t/p/w500/iRbCAC0YupTtDhfIaRDhC25KtLr.jpg,https://image.tmdb.org/t/p/original/vME9NMNAiUrQJIVUEohV5tJQFJg.jpg,126809,"25004, 1010877, 1572354, 96484, 1988490, 2101538, 3728650, 1827085, 1447365","18, 10765",1.0,6.0,33.0,Ja-hyun receives a message from his deceased wife inviting him to reunite with her in a place called 'Yonder'.,4.847,6.0,1.0,,,KR,3897,"113202, 128404"
50556,First Wives' Club,조강지처 클럽,,2007-09-29,https://image.tmdb.org/t/p/w500/hR9eeDPCfnd77s9Bl4ZJXGAnV1q.jpg,,,"938258, 93252, 96659, 1350087, 1286419",18,1.0,104.0,60.0,"When a couple of wives discover that their husband's hearts are with other women, they decide to form their own First Wives Club and take matters into their own hands!",4.832,,,,,KR,156,
14464,I am Your Teacher,아이 엠 샘,,2007-08-06,https://image.tmdb.org/t/p/w500/ayhMUx7mVh1ILppxNZ98ssVRqs.jpg,https://image.tmdb.org/t/p/original/eXNnlHcvtKWGW5HQzT5zKziTEsv.jpg,,"1297749, 1234603, 1245104, 1252344, 570899, 80981","18, 35",1.0,16.0,,"I am Sam is a 2007 South Korean television series starring Yang Dong-geun, Park Min-young, Park Joon-gyu, Son Tae-young, and T.O.P in his acting debut. It aired on KBS2 from August 6 to October 2, 2007 on Mondays and Tuesdays at 21:55 for 16 episodes. Based on the Japanese comic series Very Private Lesson, Yang plays a geeky, straight-arrowed, under-qualified high school teacher who becomes a live-in tutor for the troublemaking daughter of a notorious gangster, in exchange for one million won. The drama received average ratings of around 6.5%.

The title is a word play since sam in Korean roughly translates to ""teacher"" in slang, thus the international title, I am Your Teacher.",4.831,6.4,5.0,,,KR,342,
77283,Live,라이브,"friendship, rape, police, detective, marriage, family relationships, betrayal, police officer, policewoman, social justice, conglomerate, teamwork",2018-03-10,https://image.tmdb.org/t/p/w500/f8eQMaFRM4kvohslsTv2wa0CSSG.jpg,https://image.tmdb.org/t/p/original/7AMZ9sOH4cHvbvsVfcKU6g1g5rR.jpg,,"127720, 1326172, 573794, 1094648, 1020859, 64455, 16264, 2042978, 1348599, 1255725, 2042979, 1912573, 1678529, 566367, 2270332, 3465736","18, 80",1.0,18.0,73.0,The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace -- but the reality is far from orderly.,4.826,8.4,25.0,,,KR,866,"86418, 116612"
99655,Graceful Friends,우아한 친구들,"couple, rich family, murder case",2020-07-10,https://image.tmdb.org/t/p/w500/mMvmOEnjxH2Z3pat4yjLFyJxRWm.jpg,https://image.tmdb.org/t/p/original/kedjskqw5QOFISGrlew6228QICW.jpg,,"80461, 90472, 147505, 1248899, 83683, 1299278, 17127, 231477","18, 80",1.0,17.0,70.0,"A group of friends gets intertwined with the death of their professor twenty years ago. Ironically, now in their 40s, they get tangled once again in one man's death. Ahn Goong Chul is a man of success who is married to a doctor and is a director at a popular chicken franchise. One day, he and his wife become suspects in a murder. Through the misunderstandings and suspicion between Ahn Goong Chul and his wife Nam Jung Hae, their relationship starts to deteriorate as secrets and shocking events unfold. Amid the chaos, Ahn Goong Chul desperately struggles to protect his family.",4.819,8.8,8.0,,,KR,885,"86981, 106996"
116671,Miss Monte-Cristo,미스 몬테크리스토,,2021-02-15,https://image.tmdb.org/t/p/w500/k2MfaEjDiDnTdYQrCYMO4grgvif.jpg,https://image.tmdb.org/t/p/original/eLYl5eTzUpNighiGnegrwMzC5hc.jpg,,"1239251, 64499, 2964568, 2807907, 1016125, 1806424",18,1.0,100.0,35.0,"A suspenseful revenge drama about a woman whose life was destroyed by the friends she trusted most. After making up her mind to take revenge on those who betrayed her, she returns to reclaim the life that was stolen from her.",4.774,7.25,4.0,,,KR,342,
92708,The Running Mates: Human Rights,달리는 조사관,"prosecutor, law firm, hardworking female lead",2019-09-18,https://image.tmdb.org/t/p/w500/ygq89vSzwx8sJIyG8IQC2DZACoB.jpg,https://image.tmdb.org/t/p/original/iFttA8iag6yreb2yx2tSPzh3O9S.jpg,,"80658, 1418581, 64455, 146861, 1338806, 1572353, 105612, 1530559, 69379",18,1.0,16.0,,The ‘Human RIghts Promotion’ team helps out people who are in need to protect and secure their human rights.,4.757,7.0,1.0,,,KR,627,"86418, 117236"
99493,Sweet Munchies,야식남녀,"love triangle, restaurant, food, chef, bisexual man, lying",2020-05-25,https://image.tmdb.org/t/p/w500/nPVxUVnGf6jTqoHik14YreBDPQj.jpg,https://image.tmdb.org/t/p/original/wehubsHzY9bSWm8XJtHLDJxKeJ.jpg,,"1234600, 1122535, 1615316, 1257547, 1191490, 2766987, 2288847, 2882631, 2962698, 64455",18,1.0,12.0,70.0,"To get his own TV show, a chef known for delectable late-night eats tells a major lie that complicates his relationships with those around him.",4.753,7.5,4.0,,,KR,885,86981
51866,The Goddess of Fire,불의 여신 정이,joseon dynasty,2013-07-01,https://image.tmdb.org/t/p/w500/uF13Kn9FgL9BUo8wiroQ3zqxicq.jpg,https://image.tmdb.org/t/p/original/by04ZccvtvYiha11miP1u7wl73h.jpg,,"138114, 37941, 93997, 1257610, 1520292, 1254974, 1333419, 1326172, 1254417, 42795, 1497218, 132179, 552572, 1096793, 1335793, 116180, 1458368, 1235476, 553705, 1752600",18,1.0,32.0,70.0,"Goddess of Fire is a 2013 South Korean television series starring Moon Geun-young, Lee Sang-yoon, Kim Bum, Park Gun-hyung, Seo Hyun-jin, Jun Kwang-ryul, Jeong Bo-seok, Byun Hee-bong, Han Go-eun, and Lee Kwang-soo. It airs on MBC on Mondays and Tuesdays at 21:55 for 32 episodes beginning July 1, 2013.

The historical drama depicts the life and love of Yoo Jung, who is based on real-life 16th century historical figure Baek Pa-sun, renowned as the first female potter and porcelain artist in the Joseon Dynasty.

Baek's glazing skills were so prized, she was appointed as a china maker for the royal family. But her fame also attracted the attention of foreign invaders, and during the Japanese invasion in 1592, she was among the Korean artisans captured and forcibly taken to Japan and made to continue their craft there. Under Toyotomi Hideyoshi's orders to enrich Japanese arts and culture, Baek helped the advancement of many new types of pottery that would be claimed as Japanese works of art. She became well-respected in Japan, and there exists a shrine in the city of Arita dedicated to her.",4.744,7.5,1.0,,,KR,97,
58473,"I Love You, Don't Cry","사랑해, 울지마",,2008-11-17,https://image.tmdb.org/t/p/w500/x9VRoyLKhGVfOBdA80c4UR3Wuiv.jpg,https://image.tmdb.org/t/p/original/uxjJKWFNlADzKIep4A43pUuBIOZ.jpg,,"592257, 64497, 1257610, 1419527, 123698",18,1.0,132.0,,"I Love You, Don't Cry is a family South Korean family drama series broadcast by MBC in 2008-2009 starring Lee Yoo-ri, Lee Jung-jin and Oh Seung-hyun. The daily drama aired on MBC on Mondays to Fridays at 20:15 from November 17, 2008 to May 22, 2009 for 132 episodes.",4.735,,,,,KR,97,
92453,The Great Show,위대한 쇼,"politician, father, caretaker, family",2019-08-26,https://image.tmdb.org/t/p/w500/qZ6UYV3eRohuh8RrgHyLzrHVdkL.jpg,https://image.tmdb.org/t/p/original/wjpQc5Dy3p6RNhLICRNJXKnG0SM.jpg,,"83020, 1716008, 1222950, 1257587, 1568455, 42799, 1375944, 1706709, 2221392, 551682, 1489520, 1571552",18,1.0,16.0,65.0,"Wie Dae-Han  is an ex-lawmaker and is a materialistic kind of politician. He wants to get elected as lawmaker again. One day, 18-year-old girl Da-Jung comes to him. She tells him that he is her real father. Her mother raised four children, including Da-Jung, alone, but she died in a hit-and-run accident. Da-Jung is the only one now taking care of her 3 younger siblings. Wie Dae-Han accepts Da-Jung and her 3 younger siblings. He carries out “The Great Show” to become a lawmaker again.",4.723,8.5,2.0,,,KR,866,"7819, 86418, 112824"
80843,Let Me Introduce Her,그녀로 말할 것 같으면,,2018-07-14,https://image.tmdb.org/t/p/w500/aaPXVGt3g5ULcx1HoIR1SwTzs3H.jpg,https://image.tmdb.org/t/p/original/aCdsYjzpz0MlXemotieWWQymF9L.jpg,1428695,"87890, 1971304, 118692, 1226340, 16288, 83683, 1254631, 39258, 69379, 4263, 1347519","18, 9648",1.0,40.0,30.0,"In order to live, a woman named Eun Han risks her life by going through a dangerous surgical procedure for a new face. However, due to the after-effects of surgery, she loses her memory. She tries to find the missing pieces of her memory and while suffering from a different face and not knowing about herself, Kang Woo appears in front of her. Kang Woo has been hurt as his lover left him. He suffers as his relationship with his father gets worse. Like they were destined, Eun Han and Kang Woo reunites. He becomes determined to help Eun Han find her memory. As they work together, Kang Woo slowly opens up his closed heart to Eun Han. Meanwhile, Chan Ki, the morning news anchor, lives a perfect life. However, he seems to have a dark side which no one would have ever imagined. This mystery melodrama takes people to unexpected places with unexpected people.",5.709,5.7,3.0,,,KR,156,"115704, 115705, 115706"
45940,Dr. Jin,닥터 진,,2012-05-26,https://image.tmdb.org/t/p/w500/CMHIPKEEC7Fus7Hu8Qq1hjf1y8.jpg,https://image.tmdb.org/t/p/original/tCY0TkPe3h5LcFVcUWZjFvyljFe.jpg,,"1234603, 83020, 1239251, 240144, 86330, 1257606, 1113060","10765, 18",1.0,22.0,65.0,"A talented doctor travels over 150 years back in time to when the powerful Joseon dynasty ruled over Korea, and uses his skills to save lives in this intriguing fantasy drama. Dr. Jin Hyuk, the 21st century’s best neurosurgeon meets an unidentified patient and passes out while in despair over an accident that his lover Mina has had. As he wakes up, he's suddenly transported to the time of the Joseon Dynasty. When a plague strikes Joseon, Hyuk treats the dying people and makes a new resolution with Yi Ha Eung, who dreams of the reform of Joseon. But Jin Hyuk hesitates to study and practice medicine to out of fear that he might change history forever. Follow the trials and triumphs of this traveling doctor who ends up in the wrong place at the wrong time.",4.698,6.5,4.0,,,KR,97,"78691, 125444"
63789,Late Night Restaurant,심야식당,"remake, slice of life, food",2015-07-04,https://image.tmdb.org/t/p/w500/jtDoIf0XmwTEzW7dzYVpDrrcNX3.jpg,https://image.tmdb.org/t/p/original/mQfHcnBeiiMOFRyxHOqlYz8mr3y.jpg,,"138508, 1501649, 545761, 1180185, 123810","18, 9648",1.0,20.0,30.0,"A restaurant opens at midnight until seven in the morning. Its mysterious owner and chef, simply called the ""Master,"" has no fixed items on his menu, but will take orders from any customer and cook up whatever they ask for. As the Master cooks, his customers tell him their life stories. Korean adaptation of the original Japanese drama.",5.166,6.5,5.0,,,KR,156,110706
45073,"I Do, I Do",아이두 아이두,,2012-05-30,https://image.tmdb.org/t/p/w500/vu5R0os2I0gMQYUbzHv0S3e48UD.jpg,https://image.tmdb.org/t/p/original/fjm8Y1mMjpewJqAo879VEV2BVqW.jpg,,"83221, 1254417, 1348986, 139502, 80656, 552069, 509648, 1587494","35, 18",1.0,16.0,70.0,"I Do, I Do is a 2012 South Korean romantic-comedy television series, starring Kim Sun-a, Lee Jang-woo, Park Gun-hyung and Im Soo-hyang. It is about a successful shoe designer in her late 30s whose career is sidetracked when she accidentally gets knocked up.

The series aired on MBC from May 30 to July 19, 2012 on Wednesdays and Thursdays at 21:55 for 16 episodes.",4.666,7.0,3.0,,,KR,97,56797
32769,Worlds Within,그들이 사는 세상,,2008-10-27,https://image.tmdb.org/t/p/w500/taEsuC2seBLeQbtLQdkeMa779Yk.jpg,https://image.tmdb.org/t/p/original/onhttRol4JPQONq9OzdjeFvkHsd.jpg,"148675, 1423407","544107, 74421, 1252369, 1094648, 1535033, 123808, 1255413, 1293088, 1243590, 63441, 1222431, 1486292, 1267859, 1254630, 1080935, 992630, 119529","18, 10749",1.0,16.0,60.0,Song Hye Gyo plays a PD Joo Joon Young who has bold and unstoppable personality. Hyun Bin also plays a promising drama PD Jung Ji Oh. This drama focuses on TV stations by portraying the love and struggle of these 2 PDs during filming their respective projects as well as unfolding male and female staffs' love stories and marriages.,5.088,6.6,5.0,,,KR,342,
